Date,EPU,TCI
31-12-2012,249.99,20.4070243205148
02-01-2013,329.02,20.6389538277902
03-01-2013,366.82,24.0777511827892
04-01-2013,287.9,22.352823659099
07-01-2013,242.97,22.6789279221589
08-01-2013,113.9,22.2418102910682
09-01-2013,101.68,21.8989814856139
10-01-2013,96.78,22.3407706804184
11-01-2013,196.09,22.1832320692652
14-01-2013,170.1,22.1604835049897
15-01-2013,133.24,21.8465296541316
16-01-2013,188.22,21.7587106698085
17-01-2013,131.98,21.5942218789864
18-01-2013,247.95,21.4178535382498
22-01-2013,150.73,21.1407087548969
23-01-2013,168.82,20.5444428753592
24-01-2013,166.64,20.3989932965234
25-01-2013,174.97,20.4240617594595
28-01-2013,103.21,20.3458403240036
29-01-2013,140.52,20.5927775798282
30-01-2013,154.76,20.7850335816649
31-01-2013,126.24,21.0356568391372
01-02-2013,124.41,20.277629647278
04-02-2013,154.01,19.69872068
05-02-2013,108.14,19.7133208152991
06-02-2013,112.99,19.5755628135984
07-02-2013,91.62,19.1683066694652
08-02-2013,72.22,18.7328266039874
11-02-2013,75.91,18.7158038086935
12-02-2013,106.26,19.1027528154634
13-02-2013,112.16,19.0080417929513
14-02-2013,94.18,18.7652777944524
15-02-2013,164.94,17.9047635236545
19-02-2013,72.63,18.0697088652266
20-02-2013,95.67,18.8560810287677
21-02-2013,153.96,19.5533566232628
22-02-2013,134.46,20.746705854581
25-02-2013,267.23,19.9589478229251
26-02-2013,335.75,20.1871264275412
27-02-2013,186.2,19.9294297442258
28-02-2013,234.74,19.2513447858889
01-03-2013,324.04,19.0416780204642
04-03-2013,160.7,18.8959739619361
05-03-2013,144.85,18.6565834942568
06-03-2013,172.55,19.4108199203463
07-03-2013,100.39,17.8026880129702
08-03-2013,95.85,17.648094908611
11-03-2013,117.47,17.5053584667883
12-03-2013,111.62,17.3355256087975
13-03-2013,122.09,16.9463838839881
14-03-2013,58.06,15.7904177628833
15-03-2013,104.12,15.7550308287266
18-03-2013,115.79,15.5505587110509
19-03-2013,130.57,15.9936113320016
20-03-2013,144.81,16.270741583943
21-03-2013,156.2,16.499124776235
22-03-2013,105.79,16.4643266469287
25-03-2013,178.57,15.860922925548
26-03-2013,163.29,15.6196786333633
27-03-2013,177.06,15.5850703382029
28-03-2013,72.92,15.6616197272358
01-04-2013,104.12,15.6018360888767
02-04-2013,86.12,15.5491631126201
03-04-2013,85.68,15.932475715491
04-04-2013,101.29,16.9034232457859
05-04-2013,104.65,16.7971199201947
08-04-2013,64.04,16.6229031405319
09-04-2013,68.93,16.9665447257403
10-04-2013,145.88,17.2444123288677
11-04-2013,55.27,17.6693451014118
12-04-2013,42.73,17.5412304719672
15-04-2013,138.99,17.9262255825426
16-04-2013,27.22,22.1063552736468
17-04-2013,86.66,21.3762390242518
18-04-2013,51.21,22.0247692425442
19-04-2013,57.5,21.703643741532
22-04-2013,64.71,21.8115361064673
23-04-2013,111.75,21.9092941488459
24-04-2013,126.26,21.8545542368858
25-04-2013,44.58,22.6766050804364
26-04-2013,92.18,21.7625336773516
29-04-2013,107.23,21.4011070127969
30-04-2013,81.56,22.0396350639149
01-05-2013,74.13,21.900916734137
02-05-2013,101.98,22.7076282740012
03-05-2013,104.35,23.2692723672584
06-05-2013,68.88,22.8634954016105
07-05-2013,110.22,22.6714236291038
08-05-2013,60.31,22.5238496728189
09-05-2013,30.12,22.3245148247565
10-05-2013,65.03,21.9643271163989
13-05-2013,51.8,21.6156757620531
14-05-2013,166.99,21.1328262247466
15-05-2013,60.66,20.7132181404453
16-05-2013,75.24,21.0808807013842
17-05-2013,27.77,21.5814219865754
20-05-2013,76.24,22.1036118720292
21-05-2013,54.39,21.5178471019093
22-05-2013,78.07,22.003345918518
23-05-2013,68.76,22.0826578705796
24-05-2013,75.95,21.7751397460771
28-05-2013,56.65,20.0629615119515
29-05-2013,69.87,19.8461963411757
30-05-2013,58.2,19.4696491173228
31-05-2013,66.84,18.9158560440606
03-06-2013,85.84,18.8023915688336
04-06-2013,60.51,18.4157024954375
05-06-2013,63.07,18.2995084928905
06-06-2013,60.6,17.9242684180199
07-06-2013,63.43,17.871556570099
10-06-2013,76.66,18.0882926455249
11-06-2013,83.91,17.3519935461091
12-06-2013,81.19,18.2371719389415
13-06-2013,48.34,18.0559563358129
14-06-2013,89.93,17.625978727676
17-06-2013,108.54,17.3168281863285
18-06-2013,96.83,17.2154131815238
19-06-2013,117.49,16.8347817718318
20-06-2013,58.6,17.0582142455716
21-06-2013,89.92,20.9671628467525
24-06-2013,79.15,20.5459232504103
25-06-2013,69.15,20.7781109437077
26-06-2013,74.89,20.6102414120236
27-06-2013,65.35,22.1373983530919
28-06-2013,116.34,22.0250125825865
01-07-2013,78.43,21.91863038
02-07-2013,89.93,22.3217590640211
03-07-2013,74.91,21.9721143373299
05-07-2013,191.82,21.7392978712029
08-07-2013,153.37,21.5854978166694
