Date,Carbon,TCI
01-10-2015,162.12,22.7936231001006
02-10-2015,161.65,22.707811423223
05-10-2015,162.84,24.6002944686034
06-10-2015,163.03,25.5234501159307
07-10-2015,160.86,26.1356625422588
08-10-2015,161.26,26.2079022037069
09-10-2015,165.6,25.4880824414667
12-10-2015,164.61,25.4333414455856
13-10-2015,165.21,24.584026525514
14-10-2015,167.38,25.1858463215088
15-10-2015,167.18,24.2452809736578
16-10-2015,166.28,24.5674748719987
19-10-2015,165.49,23.9730856405994
20-10-2015,167.86,23.7192030115336
21-10-2015,167.59,23.2330549305131
22-10-2015,168.18,23.467083317527
23-10-2015,171.14,23.1565008971741
26-10-2015,171.6,23.1445945609266
27-10-2015,170.74,22.8122086736308
28-10-2015,169.96,23.6933709224152
29-10-2015,172.13,25.2845940828358
30-10-2015,171.34,24.5680466141591
02-11-2015,170.55,23.5959711718353
03-11-2015,167.72,23.2049692856758
04-11-2015,166.6,23.5141523296427
05-11-2015,167.98,23.2050233973288
06-11-2015,166.8,23.0319325636996
09-11-2015,165.02,22.3406821437402
10-11-2015,167.39,23.5121236400594
11-11-2015,167.39,23.3830013149859
12-11-2015,166.01,23.3364106707174
13-11-2015,166.4,23.4100702696383
16-11-2015,169.16,22.979190611352
17-11-2015,170.91,22.3933998230816
18-11-2015,170.32,22.4826314958892
19-11-2015,171.12,22.1138674239113
20-11-2015,168.76,21.8972399507302
23-11-2015,169.74,21.7595365781264
24-11-2015,171.51,20.9406954407166
25-11-2015,171.12,21.3221479317597
27-11-2015,170.13,20.7893213458492
30-11-2015,170.13,20.5909102663489
01-12-2015,169.74,20.3561929335273
02-12-2015,168.36,20.6532000053917
03-12-2015,170.53,20.5367964433071
04-12-2015,169.15,20.3842886365392
07-12-2015,166.79,20.0006608418566
08-12-2015,166.99,20.7894927787038
09-12-2015,166.79,22.1795110925945
10-12-2015,165.81,21.4745482898104
11-12-2015,160.1,21.6648607984138
14-12-2015,160.3,23.7042946788954
15-12-2015,162.46,23.2341148044661
16-12-2015,161.28,23.2956257308786
17-12-2015,160.1,26.0004783573137
18-12-2015,159.91,25.5044871397812
21-12-2015,162.46,25.1222857405826
22-12-2015,163.64,24.7706870300138
23-12-2015,163.05,24.828308698876
24-12-2015,162.46,24.8830915120184
28-12-2015,164.82,24.7967234106771
29-12-2015,164.04,23.8194736158782
30-12-2015,162.86,23.7672975958656
31-12-2015,163.05,24.1963753489799
04-01-2016,159.51,23.8732836327069
05-01-2016,158.53,23.7264900364179
06-01-2016,153.61,23.7066480559091
07-01-2016,149.48,24.0069924509498
08-01-2016,146.73,28.106549071162
11-01-2016,141.02,27.585592032403
12-01-2016,140.63,28.3032327200354
13-01-2016,143.38,28.482807638543
14-01-2016,140.24,28.0734265472005
15-01-2016,132.17,27.646847119942
19-01-2016,134.93,29.5865285351059
20-01-2016,125.09,28.5109102469244
21-01-2016,122.14,27.9852058311279
22-01-2016,125.09,27.9614142983497
25-01-2016,116.24,29.7899798149011
26-01-2016,119.98,30.0137176451363
27-01-2016,116.64,29.9059332792303
28-01-2016,119.78,29.3818184599065
29-01-2016,119.39,28.5097269324765
01-02-2016,112.31,29.3429324771192
02-02-2016,114.87,28.8728528319515
03-02-2016,110.93,30.0593237138967
04-02-2016,110.54,29.7471520008146
05-02-2016,109.55,29.6336791056022
08-02-2016,103.26,29.7665935687458
09-02-2016,97.75,30.5374459257479
10-02-2016,96.18,30.0767420275034
11-02-2016,93.43,29.232757632815
12-02-2016,99.72,29.4096765785857
16-02-2016,92.44,29.5087359187693
17-02-2016,100.31,30.1776942750703
18-02-2016,103.46,30.9913092255099
19-02-2016,101.69,30.7041546194023
22-02-2016,106.6,29.902386881404
23-02-2016,96.57,30.5400844114237
24-02-2016,95.79,30.3221325474237
25-02-2016,99.92,30.0146142903588
26-02-2016,98.34,30.0492086021919
29-02-2016,98.54,29.3442507913349
01-03-2016,98.34,29.1647593121925
02-03-2016,97.75,29.0981329401885
03-03-2016,96.38,29.4772458589057
04-03-2016,96.97,29.6049371283733
07-03-2016,100.31,28.5867010040311
08-03-2016,98.93,27.7246665053376
09-03-2016,100.11,28.2050197057662
10-03-2016,96.77,28.8243019942537
11-03-2016,98.34,28.264646664103
14-03-2016,95.98,28.9393346033777
15-03-2016,95.79,27.9986470121898
16-03-2016,97.75,28.1815714250522
17-03-2016,98.54,27.5569859626349
18-03-2016,97.36,29.1209611810078
21-03-2016,95.98,28.6762673645753
22-03-2016,95,28.024297071461
23-03-2016,94.61,27.6242962005695
24-03-2016,95.59,29.0048880910076
29-03-2016,94.21,27.645511503988
30-03-2016,97.75,27.2832671708063
31-03-2016,102.67,26.7311827345233
01-04-2016,101.88,26.4350177781321
04-04-2016,104.83,26.337770110825
05-04-2016,103.06,26.1382491933704
06-04-2016,104.44,26.2115895777999
07-04-2016,103.85,25.8379822730224
08-04-2016,106.6,25.845441813389
11-04-2016,109.75,25.6713104418242
12-04-2016,109.95,25.9157920497214
13-04-2016,108.96,26.5168615255748
14-04-2016,110.34,26.394481799517
15-04-2016,107.78,26.3140017519152
18-04-2016,107.59,26.1472455978454
19-04-2016,109.55,26.0667426370636
20-04-2016,109.16,25.6187950895228
21-04-2016,113.1,25.0517295776425
22-04-2016,117.42,24.8625488448807
25-04-2016,116.05,24.2935061855057
26-04-2016,130.21,24.8560699063039
