Date,TCI,VIX
19-08-2022,24.5224119947332,20.6
22-08-2022,25.4439987971929,23.8
23-08-2022,25.7596009511254,24.11
24-08-2022,25.7362781784059,22.82
25-08-2022,25.6274565656179,21.78
26-08-2022,25.6145772541794,25.56
29-08-2022,25.8856153710722,26.21
30-08-2022,25.8562581784862,26.21
31-08-2022,25.9457466382533,25.87
01-09-2022,25.8666488129835,25.56
02-09-2022,26.4941737148722,25.47
06-09-2022,26.5360198959807,26.91
07-09-2022,25.8364194501518,24.64
08-09-2022,26.2894677558571,23.61
09-09-2022,26.1673476825188,22.79
12-09-2022,26.3052817222794,23.87
13-09-2022,26.2623775304008,27.27
14-09-2022,26.951758984279,26.16
15-09-2022,26.8255192696232,26.27
16-09-2022,27.268628511338,26.3
19-09-2022,27.1719566846337,25.76
20-09-2022,26.8917456792157,27.16
21-09-2022,26.333449825064,27.99
22-09-2022,26.3210215442122,27.35
23-09-2022,26.0093084628954,29.92
26-09-2022,27.648816297311,32.26
27-09-2022,28.089461311999,32.6
28-09-2022,27.5854181549516,30.18
29-09-2022,27.3106339370617,31.84
30-09-2022,27.951311753598,31.62
03-10-2022,27.4076779335714,30.1
04-10-2022,29.4261928413787,29.07
05-10-2022,30.0200550856352,28.55
06-10-2022,30.5293176573072,30.52
07-10-2022,30.1772154926849,31.36
10-10-2022,29.5852684053355,32.45
11-10-2022,29.5886611646125,33.63
12-10-2022,29.2853863199929,33.57
13-10-2022,29.0370787727072,31.94
14-10-2022,29.0291182836583,32.02
17-10-2022,28.6331679813005,31.37
18-10-2022,28.3438603129236,30.5
19-10-2022,28.3102962663994,30.76
20-10-2022,27.8366714366308,29.98
21-10-2022,27.6066425558333,29.69
24-10-2022,27.378563955749,29.85
25-10-2022,26.8488985089456,28.46
26-10-2022,25.9912842041564,27.28
27-10-2022,25.8875428239722,27.39
28-10-2022,25.7481684720655,25.75
31-10-2022,25.2235378918784,25.88
01-11-2022,24.6769334406203,25.81
02-11-2022,24.8707752213055,25.86
03-11-2022,24.4205703527315,25.3
04-11-2022,23.8506532860371,24.55
07-11-2022,25.2290681941068,24.35
08-11-2022,24.6461073158495,25.54
09-11-2022,23.9417660190044,26.09
10-11-2022,24.82268335,23.53
11-11-2022,26.7409429300818,22.52
14-11-2022,27.2701344822884,23.73
15-11-2022,26.9964557356248,24.54
16-11-2022,27.0742936042817,24.11
17-11-2022,27.3260604683955,23.93
18-11-2022,27.4028169234663,23.12
21-11-2022,26.9059578160189,22.36
22-11-2022,26.8968277318411,21.29
23-11-2022,26.859001987172,20.35
25-11-2022,26.8339016378489,20.5
28-11-2022,26.2311229777521,22.21
29-11-2022,26.5567690714948,21.89
30-11-2022,26.3353818568038,20.58
01-12-2022,26.9907046026212,19.84
02-12-2022,26.8158099895401,19.06
05-12-2022,26.6717045568959,20.75
06-12-2022,26.8209411980027,22.17
07-12-2022,27.1826025613791,22.68
08-12-2022,27.2235355557366,22.29
09-12-2022,27.1308850344232,22.83
12-12-2022,26.7920439562721,25
13-12-2022,25.9769174765391,22.55
14-12-2022,25.6992465602294,21.14
15-12-2022,25.2659485580786,22.83
16-12-2022,25.6682594760691,22.62
19-12-2022,25.5024457249133,22.42
20-12-2022,24.9898299214227,21.48
21-12-2022,24.620162227495,20.07
22-12-2022,24.9042796403889,21.97
23-12-2022,24.8923486624724,20.87
27-12-2022,24.8697251817812,21.65
28-12-2022,24.514620995798,22.14
29-12-2022,24.0792499621041,21.44
30-12-2022,24.1129749200496,21.67
03-01-2023,23.7124318919368,22.9
04-01-2023,23.8659470345046,22.01
05-01-2023,22.9292964724767,22.46
06-01-2023,22.7150216078058,21.13
09-01-2023,23.8132445816357,21.97
10-01-2023,24.030626858651,20.58
11-01-2023,23.9727889775734,21.09
12-01-2023,24.1497431650316,18.83
13-01-2023,24.4883510069315,18.35
17-01-2023,24.1146142046693,19.36
18-01-2023,23.7644745528673,20.34
19-01-2023,23.6631063671227,20.52
20-01-2023,25.1933907428816,19.85
23-01-2023,24.6433111426091,19.81
24-01-2023,24.4593914285793,19.2
25-01-2023,24.1286725802243,19.08
26-01-2023,23.8687634567718,18.73
27-01-2023,23.5915516520895,18.51
30-01-2023,23.3281225527705,19.94
31-01-2023,23.708680413173,19.4
01-02-2023,24.7365145680629,17.87
02-02-2023,24.354307952473,18.73
03-02-2023,24.1969523900556,18.33
06-02-2023,25.4767413547829,19.43
07-02-2023,25.7437324466389,18.66
08-02-2023,25.6481598216435,19.63
09-02-2023,25.2286208506755,20.71
10-02-2023,25.0708782190105,20.53
13-02-2023,24.926478757157,20.34
14-02-2023,24.8829956048893,18.91
15-02-2023,24.3064298173038,18.23
16-02-2023,24.2915355572616,20.17
17-02-2023,24.3275788445489,20.02
21-02-2023,24.4813098778481,22.87
22-02-2023,24.3746758523682,22.29
23-02-2023,24.4628607956882,21.14
24-02-2023,24.543802037442,21.67
27-02-2023,24.2766503162728,20.95
28-02-2023,24.2898594611536,20.7
01-03-2023,24.2151118244126,20.58
02-03-2023,22.8749363699397,19.59
03-03-2023,22.805831262521,18.49
06-03-2023,22.6447468527548,18.61
07-03-2023,22.9369967642466,19.59
08-03-2023,23.208324922138,19.11
09-03-2023,22.6069484028319,22.61
10-03-2023,22.706310402175,24.8
13-03-2023,23.1562329239248,26.52
14-03-2023,23.019560454596,23.73
15-03-2023,22.7906688620429,26.14
16-03-2023,24.1297071864488,22.99
17-03-2023,24.0650715928239,25.51
20-03-2023,24.6127708244441,24.15
21-03-2023,24.2920766807293,21.38
22-03-2023,24.1157214345946,22.26
23-03-2023,24.1639021744292,22.61
24-03-2023,23.9328468587979,21.74
27-03-2023,23.9453754592496,20.6
28-03-2023,24.078352463812,19.97
29-03-2023,23.517086229524,19.12
30-03-2023,24.0944056284891,19.02
31-03-2023,24.7153937320715,18.7
03-04-2023,24.4623136108945,18.55
04-04-2023,24.9689802738609,19
05-04-2023,25.0224615107514,19.08
06-04-2023,25.3139379990716,18.4
10-04-2023,25.1311851507995,18.97
11-04-2023,25.0745429291519,19.1
12-04-2023,25.2874566462106,19.09
13-04-2023,25.5371727820918,17.8
14-04-2023,25.4257493145917,17.07
17-04-2023,25.2560395370266,16.95
18-04-2023,25.2849168021445,16.83
19-04-2023,24.8049486968028,16.46
20-04-2023,24.6412987960077,17.17
21-04-2023,24.4586281911582,16.77
24-04-2023,24.2056187717171,16.89
25-04-2023,23.9287342528045,18.76
26-04-2023,24.5836491912788,18.84
27-04-2023,25.5398414588901,17.03
28-04-2023,25.497053131625,15.78
01-05-2023,25.467236665829,16.08
02-05-2023,25.0640403053408,17.78
03-05-2023,25.9214823269894,18.34
04-05-2023,25.4678547386433,20.09
05-05-2023,25.017577038238,17.19
08-05-2023,26.1803147758043,16.98
09-05-2023,26.0425469493424,17.71
